date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:23:55	24485/24485	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Feb%202026%2015:23:55%20GMT	https://client.optinvests.com/en-US/Account/Register	C:/Users/user/Desktop/luxi%20test%20copy/Luxi/client.optinvests.com/en-US/Account/Register.html	(from https://client.optinvests.com/en-US/Account/Login?ReturnUrl=%2F)
15:23:55	3082/3082	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Feb%202026%2015:23:56%20GMT	https://client.optinvests.com/en-US/Account/ForgotPassword	C:/Users/user/Desktop/luxi%20test%20copy/Luxi/client.optinvests.com/en-US/Account/ForgotPassword.html	(from https://client.optinvests.com/en-US/Account/Login?ReturnUrl=%2F)
15:23:55	38384/38384	---M--	200	added ('OK')	font/woff2	etag:%221d676214f468370%22	https://client.optinvests.com/themes/Matrix/loginform/fonts/material-design-iconic-font/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0	C:/Users/user/Desktop/luxi%20test%20copy/Luxi/client.optinvests.com/themes/Matrix/loginform/fonts/material-design-iconic-font/fonts/Material-Design-Iconic-Fontd1f1.woff2	(from https://client.optinvests.com/themes/Matrix/loginform/fonts/material-design-iconic-font/css/material-design-iconic-font.min.css)
15:23:55	50312/50312	---MCZ	200	added ('OK')	application/font-woff	etag:W/%221d676214f46d208%22	https://client.optinvests.com/themes/Matrix/loginform/fonts/material-design-iconic-font/fonts/Material-Design-Iconic-Font.woff?v=2.2.0	C:/Users/user/Desktop/luxi%20test%20copy/Luxi/client.optinvests.com/themes/Matrix/loginform/fonts/material-design-iconic-font/fonts/Material-Design-Iconic-Fontd1f1.woff	(from https://client.optinvests.com/themes/Matrix/loginform/fonts/material-design-iconic-font/css/material-design-iconic-font.min.css)
15:23:56	99212/99212	---M--	200	added ('OK')	application/x-font-ttf	etag:%221d676214f47950c%22	https://client.optinvests.com/themes/Matrix/loginform/fonts/material-design-iconic-font/fonts/Material-Design-Iconic-Font.ttf?v=2.2.0	C:/Users/user/Desktop/luxi%20test%20copy/Luxi/client.optinvests.com/themes/Matrix/loginform/fonts/material-design-iconic-font/fonts/Material-Design-Iconic-Fontd1f1.ttf	(from https://client.optinvests.com/themes/Matrix/loginform/fonts/material-design-iconic-font/css/material-design-iconic-font.min.css)
15:23:57	145312/145312	---M--	200	added ('OK')	application/x-font-ttf	etag:%221d676214f442120%22	https://client.optinvests.com/themes/Matrix/loginform/fonts/poppins/Poppins-Regular.ttf	C:/Users/user/Desktop/luxi%20test%20copy/Luxi/client.optinvests.com/themes/Matrix/loginform/fonts/poppins/Poppins-Regular.ttf	(from https://client.optinvests.com/themes/Matrix/loginform/css/style.css)
15:23:57	142148/142148	---M--	200	added ('OK')	application/x-font-ttf	etag:%221d676214f443dc4%22	https://client.optinvests.com/themes/Matrix/loginform/fonts/poppins/Poppins-SemiBold.ttf	C:/Users/user/Desktop/luxi%20test%20copy/Luxi/client.optinvests.com/themes/Matrix/loginform/fonts/poppins/Poppins-SemiBold.ttf	(from https://client.optinvests.com/themes/Matrix/loginform/css/style.css)
15:23:58	24547/24547	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Feb%202026%2015:23:58%20GMT	https://client.optinvests.com/de-DE/Account/Register	C:/Users/user/Desktop/luxi%20test%20copy/Luxi/client.optinvests.com/de-DE/Account/Register.html	(from https://client.optinvests.com/de-DE/Account/Login?ReturnUrl=%2F)
15:23:58	3081/3081	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Feb%202026%2015:23:59%20GMT	https://client.optinvests.com/de-DE/Account/ForgotPassword	C:/Users/user/Desktop/luxi%20test%20copy/Luxi/client.optinvests.com/de-DE/Account/ForgotPassword.html	(from https://client.optinvests.com/de-DE/Account/Login?ReturnUrl=%2F)
15:23:58	1017/1017	---MC-	200	added ('OK')	text/javascript	date:Thu,%2012%20Feb%202026%2015:23:59%20GMT	https://www.google.com/recaptcha/api.js	C:/Users/user/Desktop/luxi%20test%20copy/Luxi/www.google.com/recaptcha/api.js	(from https://client.optinvests.com/en-US/Account/Register)
15:23:59	148980/148980	---MCZ	200	added ('OK')	application/javascript	etag:W/%221d676214eafc5f4%22	https://client.optinvests.com/themes/Matrix/Dashboard/js/core/jquery.min.js	C:/Users/user/Desktop/luxi%20test%20copy/Luxi/client.optinvests.com/themes/Matrix/Dashboard/js/core/jquery.min.js	(from https://client.optinvests.com/en-US/Account/Register)
